cultura	regiao	area	prod	rend
CANA	PRSP	276925	22385125	80835
CANA	PRSP	8400	672000	80000
CANA	PRSP	38000	3040000	80000
CANA	PRSP	35000	2625000	75000
CANA	PRSP	29340	2200500	75000
CANA	PRSP	9800	872200	89000
CANA	PRSP	6300	504000	80000
CANA	PRSP	31000	2635500	85016
CANA	PRSP	32000	2880000	90000
CANA	PRSP	21000	2000000	95238
CANA	PRSP	11485	976225	85000
CANA	PRSP	7900	537200	68000
CANA	PRSP	18500	1387500	75000
CANA	PRSP	13800	1035000	75000
CANA	PRSP	12000	840000	70000
CANA	PRSP	2400	180000	75000
CANA	PRSP	111200	8827600	79385
CANA	PRSP	9200	782000	85000
CANA	PRSP	28000	2240000	80000
CANA	PRSP	5100	367200	72000
CANA	PRSP	15200	1292000	85000
CANA	PRSP	18700	1346400	72000
CANA	PRSP	35000	2800000	80000
CANA	PRSP	312890	23421573	74856
CANA	PRSP	70468	5262736	74683
CANA	PRSP	33000	2640000	80000
CANA	PRSP	3700	259000	70000
CANA	PRSP	5568	428736	77000
CANA	PRSP	7500	525000	70000
CANA	PRSP	14000	1008000	72000
CANA	PRSP	6700	402000	60000
CANA	PRSP	94218	7914458	84002
CANA	PRSP	32000	2446208	76444
CANA	PRSP	2850	242850	85211
CANA	PRSP	10160	1118260	110065
CANA	PRSP	7200	588200	81694
CANA	PRSP	19700	1773300	90015
CANA	PRSP	13900	1120000	80576
CANA	PRSP	3708	296640	80000
CANA	PRSP	4700	329000	70000
CANA	PRSP	148204	10244379	69123
CANA	PRSP	22901	1717575	75000
CANA	PRSP	10300	670000	65049
CANA	PRSP	400	40000	100000
CANA	PRSP	8073	540895	67000
CANA	PRSP	49000	3283000	67000
CANA	PRSP	7200	504000	70000
CANA	PRSP	16340	1094780	67000
CANA	PRSP	3390	227130	67000
CANA	PRSP	4000	267999	67000
CANA	PRSP	12000	804000	67000
CANA	PRSP	14600	1095000	75000
CANA	PRSP	220187	18498613	84013
CANA	PRSP	56808	4672140	82244
CANA	PRSP	11500	977500	85000
CANA	PRSP	22500	1800000	80000
CANA	PRSP	7000	630000	90000
CANA	PRSP	15808	1264640	80000
CANA	PRSP	82017	7645530	93219
CANA	PRSP	200	16400	82000
CANA	PRSP	17800	1780000	100000
CANA	PRSP	1800	126000	70000
CANA	PRSP	400	32000	80000
CANA	PRSP	18000	1665000	92500
CANA	PRSP	8651	692080	80000
CANA	PRSP	2500	175000	70000
CANA	PRSP	736	51450	69905
CANA	PRSP	20000	1800000	90000
CANA	PRSP	5000	476000	95200
CANA	PRSP	6930	831600	120000
CANA	PRSP	28865	2019929	69978
CANA	PRSP	3000	233001	77667
CANA	PRSP	2000	186000	93000
CANA	PRSP	900	40500	45000
CANA	PRSP	5400	280800	52000
CANA	PRSP	8000	560000	70000
CANA	PRSP	6465	539828	83500
CANA	PRSP	3100	179800	58000
CANA	PRSP	49659	3980544	80158
CANA	PRSP	1500	120000	80000
CANA	PRSP	1600	128000	80000
CANA	PRSP	7592	622544	82000
CANA	PRSP	7000	553000	79000
CANA	PRSP	300	39000	130000
CANA	PRSP	2000	158000	79000
CANA	PRSP	2500	200000	80000
CANA	PRSP	7167	700000	97670
CANA	PRSP	4500	320000	71111
CANA	PRSP	3500	320000	91429
CANA	PRSP	10000	650000	65000
CANA	PRSP	2000	170000	85000
CANA	PRSP	2838	180470	63591
CANA	PRSP	2275	136500	60000
CANA	PRSP	17	1700	100000
CANA	PRSP	75	4500	60000
CANA	PRSP	15	1350	90000
CANA	PRSP	6	420	70000
CANA	PRSP	150	12000	80000
CANA	PRSP	300	24000	80000
CANA	PRSP	472651	33766019	71440
CANA	PRSP	104340	7226300	69257
CANA	PRSP	15400	1078000	70000
CANA	PRSP	26000	1820000	70000
CANA	PRSP	8050	563500	70000
CANA	PRSP	990	69300	70000
CANA	PRSP	10000	690000	69000
CANA	PRSP	8400	588000	70000
CANA	PRSP	13500	877500	65000
CANA	PRSP	7550	528500	70000
CANA	PRSP	6000	420000	70000
CANA	PRSP	8450	591500	70000
CANA	PRSP	78985	5593785	70821
CANA	PRSP	13000	910000	70000
CANA	PRSP	6560	459200	70000
CANA	PRSP	16292	1140440	70000
CANA	PRSP	2900	220400	76000
CANA	PRSP	3800	266000	70000
CANA	PRSP	7550	513400	68000
CANA	PRSP	960	67200	70000
CANA	PRSP	4300	301000	70000
CANA	PRSP	7000	490000	70000
CANA	PRSP	6500	552500	85000
CANA	PRSP	489	34230	70000
CANA	PRSP	1554	73815	47500
CANA	PRSP	4000	280000	70000
CANA	PRSP	4080	285600	70000
CANA	PRSP	289326	20945934	72396
CANA	PRSP	500	50000	100000
CANA	PRSP	9000	675000	75000
CANA	PRSP	5950	446250	75000
CANA	PRSP	4677	299328	64000
CANA	PRSP	5100	510000	100000
CANA	PRSP	6160	523600	85000
CANA	PRSP	5298	370860	70000
CANA	PRSP	77	5380	69870
CANA	PRSP	11577	762588	65871
CANA	PRSP	14337	1003590	70000
CANA	PRSP	3600	314500	87361
CANA	PRSP	22909	1508833	65862
CANA	PRSP	12789	1151000	89999
CANA	PRSP	179	8950	50000
CANA	PRSP	10500	840000	80000
CANA	PRSP	1600	120000	75000
CANA	PRSP	15683	1092007	69630
CANA	PRSP	5168	412406	79800
CANA	PRSP	4472	313040	70000
CANA	PRSP	43210	2508085	58044
CANA	PRSP	5000	404000	80800
CANA	PRSP	2620	128380	49000
CANA	PRSP	6591	463439	70314
CANA	PRSP	33550	2684000	80000
CANA	PRSP	2771	193970	70000
CANA	PRSP	1325	92760	70008
CANA	PRSP	18000	1620000	90000
CANA	PRSP	3200	256000	80000
CANA	PRSP	33483	2187968	65346
CANA	PRSP	84009	6421846	76442
CANA	PRSP	56594	4255881	75200
CANA	PRSP	6261	518411	82800
CANA	PRSP	2750	187000	68000
CANA	PRSP	12100	968000	80000
CANA	PRSP	10900	763000	70000
CANA	PRSP	11837	935123	79000
CANA	PRSP	5578	367032	65800
CANA	PRSP	7168	517315	72170
CANA	PRSP	27415	2165965	79007
CANA	PRSP	2400	144000	60000
CANA	PRSP	1	60	60000
CANA	PRSP	4200	336000	80000
CANA	PRSP	2057	205700	100000
CANA	PRSP	4000	320000	80000
CANA	PRSP	1357	88205	65000
CANA	PRSP	13400	1072000	80000
CANA	PRSP	331516	25706511	77542
